"Timestamp","I understand the intention of this project and I give permission to the project coordinator to use my responses at their discretion.","What is your age?","What is your primary role?","How many years have you been dancing Zouk?","What is your experience level?","What state/country do you live in?","How frequently did you attend group classes in 2022? (weekly, progressive courses)","Are these classes in person or online?","How many hours of group classes do you attend per week?","How much do you pay per week for group classes? (please include currency)","What is your favorite learning style?","What is your preferred class structure?","Do you prefer to know the class topic ahead of time?","What is your biggest barrier to attending class?","What is the ideal length for a group class?","Do you prefer progressive courses (closed group) or traditional weekly classes (drop in)?","How important to you is having a designated practica session in addition to weekly class?","In addition to a base cost, how much more are you willing to pay to have a 30-min practica at the end of a group class?","How important to you is it that your instructor attends or competes at larger events?","Have you taken a private lesson from any instructor in 2022?","Was your lesson purchased as a package or as a single lesson?","In 2022, did you take private lessons online or in person?","What was your goal/motivation to seek a private lesson?","How often do you take private lessons?","Do you take private lessons with local instructors, or only pros at major events?","What prevents you from taking more private lessons?","Have you attended any socials in 2022?","Do you feel comfortable inviting someone else to dance with you at a social?","How often do you...  [give instruction / corrections on the dance floor at a social?]","How often do you...  [receive instruction / corrections on the dance floor at a social?]","What time do your local socials typically start? (not including classes before)","Ideally, what time would you like socials to start?","What time do you typically ARRIVE at a social?	","What time do you typically DEPART from a social?	","How many songs in a row do you typically dance with the same partner at a local social?","In addition to a base cost, how much more are you willing to pay to have a headliner DJ at a local social?","Have you attended any events (socials, weekender/workshops, or Congress) in 2022?","What type of events have you participated in during 2022?","If you attended local socials, how many have you attended in 2022?","If you attended local socials, what was the average price you paid for a social in 2022?","If you attended weekender/workshop events, how many have you attended in 2022?","If you attended weekender/workshop events, what was the average price you paid for a weekender/workshop event in 2022?","If you attended a Congress, how many have you attended in 2022?","If you attended a Congress, what was the average price you paid for a Congress in 2022?","How interested are you in competing at a zouk event (either JnJ or routine)?","Over the past year, has your interest in competition...","Please rank the following elements of an event from least important (1) to most important (10). [Location (city/neighborhood)]","Please rank the following elements of an event from least important (1) to most important (10). [Parking]","Please rank the following elements of an event from least important (1) to most important (10). [Floors]","Please rank the following elements of an event from least important (1) to most important (10). [Ambiance (lighting, rest areas)]","Please rank the following elements of an event from least important (1) to most important (10). [Quality of amenities (bathrooms, water)]","Please rank the following elements of an event from least important (1) to most important (10). [Music/DJs]","Please rank the following elements of an event from least important (1) to most important (10). [Size (number of available dance partners)]","Please rank the following elements of an event from least important (1) to most important (10). [Number of artists]","Please rank the following elements of an event from least important (1) to most important (10). [Number of workshops]","Please rank the following elements of an event from least important (1) to most important (10). [Length of Time (hours of instruction/socials)]","What is the maximum number of classes/workshops you have taken in a single day at an event (such as a weekender or congress) in 2022?","What is a comfortable number of classes/workshops for you to take in a single day at an event (such as a weekender or congress) in 2022?	","What was the most challenging aspect of starting zouk for you?","What is your greatest fear when participating in zouk?","What is the most rewarding part of zouk for you?","What is it about zouk that keeps you coming back?","Please indicate how often you agree with the following statements. [I change the patterns/styling used in my dance based on the type of song.]","Please indicate how often you agree with the following statements. [I am generally comfortable with physical contact (in dance and non-dance).]","Please indicate how often you agree with the following statements. [I am uncomfortable being in close position for more than an 8-count.]","Please indicate how often you agree with the following statements. [I believe zouk requires a spiritual connection between partners.]","Please indicate how often you agree with the following statements. [It is easy for me to communicate my boundaries to my partners during socials.]","Please indicate how often you agree with the following statements. [I feel that my boundaries are respected by my partners.]","Please indicate how often you agree with the following statements. [The distinction between sexual and sensual movements/connections is unclear when dancing zouk.]","Please indicate how often you agree with the following statements. [I have an active awareness about how my romantic partner feels when I dance with others (if not applicable please leave blank)]","Please indicate how often you agree with the following statements. [I feel I am able to explore/play with new connections/patterns in a social setting without judgement.]","Please indicate how comfortable you are with the following connection points in a social setting. [Forehead]","Please indicate how comfortable you are with the following connection points in a social setting. [Cheek]","Please indicate how comfortable you are with the following connection points in a social setting. [Chin]","Please indicate how comfortable you are with the following connection points in a social setting. [Neck]","Please indicate how comfortable you are with the following connection points in a social setting. [Shoulder]","Please indicate how comfortable you are with the following connection points in a social setting. [Arm]","Please indicate how comfortable you are with the following connection points in a social setting. [Hand]","Please indicate how comfortable you are with the following connection points in a social setting. [Chest]","Please indicate how comfortable you are with the following connection points in a social setting. [Upper back]","Please indicate how comfortable you are with the following connection points in a social setting. [Lower back]","Please indicate how comfortable you are with the following connection points in a social setting. [Hips]","Please indicate how comfortable you are with the following connection points in a social setting. [Upper thigh]","Please indicate how comfortable you are with the following connection points in a social setting. [Knee]","Please indicate how comfortable you are with the following connection points in a social setting. [Lower Leg]","Please indicate how comfortable you are with the following connection points in a social setting. [Foot]","What is your preferred ratio of music style at a social?","How accessible/easy to start do you think Zouk is for new dancers?","What would make Zouk more accessible/easier to start for new dancers?","Would you rather...? [Have a social at A) a dance studio or B) Other Venue Type (Hotel, Bar, Park, etc.)]","Would you rather...? [Attend a social with A) Headliner DJ/Instructor or B) a better dance floor]","Would you rather...? [Have the lighting at a social be A) low/mostly dark (~20-40% of normal) or B) lower than class, but not dark (45-65%)]","Would you rather...? [In your local scene, have more A) classes or B) socials]","Would you rather...? [In weekly classes, have A) a longer pattern or B) harder concept]","Would you rather...? [In weekly classes, have A) more sessions per week or B) one day with a longer session]","Any other feedback, thoughts, feelings you would like to share? Any questions that were missed/should be considered for another survey?"
"2022/12/20 5:54:39 PM PST","Yes","27","Leader","3","Intermediate","Seattle/USA","Never, or less than once a month","","","","","","","","","","","","","Yes","Single","In Person","To get the teacher's perspective on what is lambada","A few times a year, or less","Mix of both","My budget/ability to pay the cost;I'm not looking to grow in zouk that much","Yes","Yes","Only if explicitly asked for","Only if explicitly asked for","22:00","20:00","22:00","02:00","3","$5","Yes","Local socials;Weekender/workshops;Congress","24","10","12","200","5","300","Not at all interested","Decreased","6","1","10","8","6","10","8","1","1","10","1","1","Making friends, I do notice that it depends on the community, some community are more welcoming","I make someone feel uncomfortable","Meeting amazing humans","The people, energy, warmth, connection","Always","Always","Only with specific people","Never","Most of the time","Most of the time","Never","","Some of the time","Only with specific partners","Only with specific partners","Only with specific partners","Only with specific partners","Usually","Usually","Usually","Sometimes","Usually","Sometimes","Only with specific partners","Only with specific partners","Usually","Usually","Usually","50% Mellow/50% Dynamic","Somewhat accessible","Flexible pricing","B","B","A","B","B","B",""
"2022/12/20 5:56:27 PM PST","Yes","47","Leader","14","Advanced","Hong Kong ","Never, or less than once a month","","","","","","","","","","","","","No","","","","","","","Yes","Yes","Only if explicitly asked for","Only if explicitly asked for","20:00","20:00","20:00","00:00","1","$5","No","","","","","","","","","","","","","","","","","","","","","","Absorbing a lot of information in class ","Getting stuck in a rut - repeating the same moves","Connection ","Connection and creativity ","Always","Always","","Some of the time","Always","Always","","","Always","Sometimes","Sometimes","Sometimes","Usually","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","80% Mellow/20% Dynamic","Very accessible","First few classes - keep it simple","A","B","A","B","B","B","2022 was not a normal year due to Covid."
"2022/12/20 6:00:30 PM PST","Yes","34","Follower","6","Intermediate","California","2-3 times a month","Mixed","Average 1 hour ","Average for online is $60-80 for one month (6 hrs or so), Avg drop-in in LA $20, otherwise Congress classes","Visual (I need to see the pattern demonstrated by the instructors multiple times before I try any movement)","Equal mix of both","Yes, but I will attend class regardless","A lot of the classes are progressive and I don’t have a regular schedule so it’s hard to attend a weekly class","1.5 hours","Both equally","A little important","$10","Very important","Yes","Mix","Mix of both","I’ve been dancing Zouk a long time and I seek out privates to work on issues specific to me in my dance, I’m not seeking an introduction to any movements at this point","Every few months","Mix of both","Nothing, I already take as many as I feel I need.","Yes","Yes","Never","Some of the time","22:00","22:00","23:00","02:30","4-6","$5","Yes","Local socials;Weekender/workshops;Congress","Avg every other week","$20-$25","3-5","$100-$150","6","$150","Very interested","Stayed the same","2","10","4","3","4","1","4","3","3","3","3-4 classes per event","3-4 classes","Difficult dance, the instruction is far from standardized. Requires a lot of body awareness and general training to do well ","Lack of competency ","Connection","Connection, artistic expression","Most of the time","Always","Never","Only with specific people","Some of the time","Most of the time","Only with specific people","Never","Always","Only with specific partners","Only with specific partners","Only with specific partners","Only with specific partners","Always","Always","Always","Always","Always","Never","Always","Always","Always","Always","Always","50% Mellow/50% Dynamic","Not at all accessible","Simplify the dance, also needs to be cheaper","B","A","A","B","B","B","Be careful when asking people to level themselves. That was the hardest question for me - I’ve been dancing Zouk a long time, but I don’t teach, I compete irregularly. I’m also in a very competitive region with a lot of talented Zouk dancers and so my opinion of what advanced/int/novice is looks a lot different than someone from a smaller scene might perceive and that is different still compared to Brazilian standards. Less experienced dancers will often overestimate their skill and more experienced dancers tend to underestimate their skills. Using more objective criteria such as competition level, whether or not someone is a local or international instructor might be a better way to gage. Also, I can’t remember, but if you didn’t ask someone about where they are from and what country they are from-I would. There’s a lot of geographical variability "
"2022/12/20 6:02:38 PM PST","Yes","23","Follower","4","Advanced","Australia ","Multiple times a week","In Person","2.5 - 5 hrs depending on the week ","$47.5 - $110 AUD ","Physical (I need to experience elements of the pattern through drills or repetition)","Concept based","Yes, but I will attend class regardless","Cost","1.5 hours","Both equally","A little important","$10","Not at all important","Yes","Single","In Person","Improve my dance and reduce injuries","Only at events","Professionals at events only","My budget/ability to pay the cost","Yes","Sometimes, it depends on the day/event","Only if explicitly asked for","Never","20:30","20:30","20:45","00:00","2","$10","Yes","Local socials;Weekender/workshops;Congress","Anywhere between 1 and 3 a week","$15","5","$150","2","$290","Somewhat interested","Stayed the same","3","1","8","2","4","7","5","6","9","10","4","4","Putting myself out there and general social anxiety","That I'll hurt someone while dancing","Being able to grow as a person and a dancer through my connection to myself and to the people around me","The people and the playful energy","Some of the time","Always","Only with specific people","Never","Most of the time","Some of the time","Never","Most of the time","Always","Usually","Sometimes","Only with specific partners","Sometimes","Always","Always","Always","Usually","Always","Always","Always","Usually","Always","Always","Usually","20% Mellow/80% Dynamic","Somewhat accessible","I think bringing in the concepts of fun and play earlier might make newer dancers relax a little bit and be able to enjoy messing around without feeling overwhelmed by technique and patterns","B","B","A","B","B","A",""
"2022/12/20 6:19:30 PM PST","Yes","39","Follower","7","Intermediate","WA, USA","Once a week","In Person","3","$40 usd ","Physical (I need to experience elements of the pattern through drills or repetition)","Concept based","No, it does not make a difference to me","Inertia- not wanting to go out, especially having to drive to same studio multiple days per week","1 hour","Progressive Closed Group Classes","A little important","$0","Not at all important","No","","","","","","","Yes","Sometimes, it depends on the day/event","Never","Some of the time","22:00","19:00","22:30","00:00","2","$0","Yes","Local socials;Weekender/workshops","~24","0- included with team membership ","5","100","","","Somewhat interested","Stayed the same","7","9","10","8","4","5","6","1","2","3","4","3","Social barriers, feeling excluded/different","","","","Always","Some of the time","Only with specific people","Rarely","Some of the time","Most of the time","Only with specific people","Some of the time","Some of the time","Never","Sometimes","Never","Sometimes","Usually","Always","Always","Always","Always","Usually","Sometimes","Usually","Sometimes","Sometimes","Sometimes","80% Mellow/20% Dynamic","Somewhat accessible","More affordable classes, better taught and managed so people don’t feel like they need expensive private lessons to excel in zouk","A","B","B","B","B","B","Something more about creating a welcoming and inclusive culture"
"2022/12/20 6:21:00 PM PST","Yes","40","Both Equally","10","Intermediate","Indonesia","Once a week","In Person","2","150 IDR","Visual (I need to see the pattern demonstrated by the instructors multiple times before I try any movement)","Equal mix of both","No, it does not make a difference to me","There are no classes in my area","1.5 hours","Progressive Closed Group Classes","Very important","$5","A little important","No","","","","","","","Yes","Yes","Only if explicitly asked for","Never","20:00","19:00","20:00","11:00","2","$10","No","","","","","","","","","","","","","","","","","","","","","","Access to teachers","None","Nice connection and flow","","Some of the time","Always","Never","Rarely","Most of the time","Most of the time","Rarely","","Most of the time","Only with specific partners","Only with specific partners","Only with specific partners","Usually","Always","Always","Always","Usually","Always","Always","Always","Usually","Always","Always","Always","50% Mellow/50% Dynamic","Somewhat accessible","Focus on fun","B","A","B","B","B","A",""
"2022/12/20 6:35:36 PM PST","Yes","32","Follower","5","Advanced","Switzerland","Multiple times a week","Online","2","400 per year","Physical (I need to experience elements of the pattern through drills or repetition)","Concept based","Yes, I use it to determine if I will attend or not","Day of the week","2 hours","Both equally","Very important","$5","A little important","Yes","Package","In Person","Learn different ways to dance ","Every few months","Professionals at events only","My budget/ability to pay the cost","Yes","Yes","Only if explicitly asked for","Only if explicitly asked for","09:00","09:00","09:30","11:30","4-6","$0","Yes","Local socials;Weekender/workshops;Congress","Too many to count ","10ucd","10usd","150usd","4","150USD","Somewhat interested","Increased","10","1","10","6","10","10","10","6","5","10","6","4","No instructors locally","None","Movement (feels good in the body)","Same as above ","Some of the time","Some of the time","Some of the time","Never","Always","Most of the time","Some of the time","","Always","Only with specific partners","Only with specific partners","Only with specific partners","Only with specific partners","Usually","Always","Always","Sometimes","Always","Usually","Usually","Only with specific partners","Always","Always","Always","80% Mellow/20% Dynamic","Somewhat accessible","Showing that it's not only head movements","A","B","B","A","B","A",""
"2022/12/20 6:36:16 PM PST","Yes","34","Follower","6","Advanced","Canada","Once a week","In Person","2","I am teaching - answers based on classes I attend @ festivals, training weekends etc. ","Visual (I need to see the pattern demonstrated by the instructors multiple times before I try any movement)","Equal mix of both","Yes, but I will attend class regardless","There are no other instructors in our area, we have to travel to other cities for coaching","1.5 hours","Progressive Closed Group Classes","Very important","$5","A little important","Yes","Single","In Person","To learn how to execute head movement more comfortable & polish our skills","Every few months","Mix of both","budget, and access to in-person training (travel)","Yes","Yes","Only if explicitly asked for","Only if explicitly asked for","21:00","21:00","21:00","02:00","3","$5","Yes","Local socials;Weekender/workshops;Congress","Weekly","$10 - $15","about 8 ","$125","1","$250","Somewhat interested","Decreased","6","6","8","7","4","8","5","1","3","2","4","3","Access to instructors in my city","Hurting my body in the longterm, either from improper head movements or loud music (hearing)","Finding freedom in movement and connection","The art and flow state","Some of the time","Some of the time","Only with specific people","Some of the time","Most of the time","Most of the time","Rarely","Most of the time","Most of the time","Only with specific partners","Only with specific partners","Only with specific partners","Sometimes","Always","Always","Always","Usually","Usually","Usually","Usually","Only with specific partners","Always","Always","Always","80% Mellow/20% Dynamic","Somewhat accessible","Regular classes & socials in your community","B","B","A","A","B","A",""
"2022/12/20 6:39:34 PM PST","Yes","42","Leader","13","Advanced","South Australia, Australia","Once a week","In Person","3","$25 AUD","Visual (I need to see the pattern demonstrated by the instructors multiple times before I try any movement)","Equal mix of both","No, it does not make a difference to me","Non - I teach the classes","1 hour","Both equally","A little important","$5","A little important","No","","","","","","","Yes","Yes","Only if explicitly asked for","Only if explicitly asked for","21:00","20:00","20:30","02:00","2","$5","Yes","Local socials;Congress","13","$10 AUD","0","","1","$320 AUD","Very interested","Stayed the same","3","2","1","1","2","1","3","2","2","2","6","5","Availability of classes - there were no regular classes when I started","That I will make the dance interesting and enjoyable for my partner ","Growing the community and improving the level of dancers in my local zouk scene","The feeling of the dance, the music, and the connection to the great community of people","Most of the time","Most of the time","Never","Never","Always","Always","Never","Always","Always","Always","Usually","Sometimes","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","50% Mellow/50% Dynamic","Somewhat accessible","Simply awareness of the dance style to the everyday person","A","B","A","B","B","B","Great survey and looking forward to seeing the results :)"
"2022/12/20 6:50:47 PM PST","Yes","28","Follower","3","Advanced","Australia","Multiple times a week","In Person","7","100 AUD","Physical (I need to experience elements of the pattern through drills or repetition)","Concept based","Yes, but I will attend class regardless","Cost","1 hour","Progressive Closed Group Classes","Not at all important","$0","A little important","Yes","Single","In Person","Technique ","Every few months","Local instructors only","My budget/ability to pay the cost","Yes","Yes","Never","Never","22:00","21:00","22:00","02:00","2","$8","Yes","Local socials;Weekender/workshops;Congress","10","10","2","200","2","1000","Very interested","Stayed the same","8","6","8","6","6","6","10","5","5","7","6","3","Heavy follow ratio in socials","Being unable to leave an uncomfortable dance","The feeling of freedom and sensuality on the dance floor","How the dance makes me feel","Most of the time","Most of the time","Never","Never","Only with specific people","Some of the time","Some of the time","Always","Most of the time","Sometimes","NA (I haven't learned or had connections this way)","NA (I haven't learned or had connections this way)","Never","Sometimes","Always","Always","Usually","Always","Sometimes","Usually","Usually","Usually","Usually","","50% Mellow/50% Dynamic","Somewhat accessible","Better ratio control","A","B","B","B","B","B",""
"2022/12/20 6:52:25 PM PST","Yes","35","Follower","3","Intermediate","Australia","2-3 times a month","In Person","1","20 AUD ","Physical (I need to experience elements of the pattern through drills or repetition)","Concept based","Yes, I use it to determine if I will attend or not","Usually not worth it for followers as a lot of the classes are pattern based and not followers technique","More than 2 hours","Progressive Closed Group Classes","A little important","$5","Not at all important","Yes","Package","In Person","To improve and progress further than intermediate level as most classes doesn't go further. Be more comfortable and confident in social dancing ","Every few months","Local instructors only","Nothing, I already take as many as I feel I need.;My time/availability","Yes","Yes","Never","Only if explicitly asked for","21:00","20:00","20:30","23:30","3","$0","Yes","Local socials;Weekender/workshops","40","10 AUD ","2","","","","Not at all interested","Stayed the same","8","8","10","4","2","7","8","1","1","4","2","2","Balance especially in head movements","Rough leads that hurt me","Beautiful human connection","The feeling of love it creates in my heart and soul","Most of the time","Most of the time","Only with specific people","Some of the time","Only with specific people","Most of the time","Rarely","","Some of the time","Usually","Usually","Only with specific partners","Only with specific partners","Always","Always","Always","Always","Always","Usually","Usually","Usually","Always","Always","Always","20% Mellow/80% Dynamic","Somewhat accessible","It's just not an easy dance but the rewards are bigger than any other dance and if they knew that or could get to experience that earlier maybe more would stay to make the effort. More focus on partner connection from the start rather than just patterns.","A","B","A","B","B","B","In general I wish more classes and workshops would teach the leads about gauging comfort of the follower and the importance on being gentle. There's always a discussion amongst followers on rough leads and who to avoid and it's just sad and it makes it always a risk for the follower to attend socials. But this topic is rarely discussed and there's rarely a natural way for followers to give this feedback to the leads."
"2022/12/20 6:53:26 PM PST","Yes","37","Both Equally","5","Advanced","Canberra, Australia","Multiple times a week","In Person","9","~$100 AUD","Physical (I need to experience elements of the pattern through drills or repetition)","Equal mix of both","No, it does not make a difference to me","Cost","More than 2 hours","Progressive Closed Group Classes","Very important","$5","A little important","Yes","Mix","In Person","Feedback and advance progression","A few times a year, or less","Professionals at events only","My budget/ability to pay the cost","Yes","Yes","Only if explicitly asked for","Some of the time","18:00","19:00","19:00","00:00","3","$8","Yes","Local socials;Weekender/workshops;Congress","35","$5-10 AUD","8","$80 AUD","3","$700 AUD inc ticket, accomodation, transport and food","Somewhat interested","Increased","8","4","9","9","9","9","6","7","8","8","6","6","Becoming a beginner again. Learning upper body movements unique to Zouk. ","Performance and Rejection. My partner not having fun and enjoying dancing with me. ","Dance cuddles. Making my dance partner have a great time and being able to relax and enjoy dancing together. ","The community. The music. The connection. ","Most of the time","Most of the time","Always","Rarely","Always","Most of the time","Only with specific people","Most of the time","Some of the time","Usually","Sometimes","Only with specific partners","Sometimes","Always","Always","Always","Usually","Always","Always","Always","Sometimes","Usually","Always","Usually","50% Mellow/50% Dynamic","Somewhat accessible","More awareness. More comfort with the closeness of the style. ","A","B","B","A","B","A",""
"2022/12/20 6:59:45 PM PST","Yes","26","Follower","4","Intermediate","Texas","Once a week","In Person","2 hours","25 dollars","Physical (I need to experience elements of the pattern through drills or repetition)","Concept based","Yes, I use it to determine if I will attend or not","I don't like the instructors/classes in my area","1 hour","Progressive Closed Group Classes","Very important","$10","Not at all important","Yes","Package","In Person","To improve in head movement. ","A few times a year, or less","Local instructors only","My budget/ability to pay the cost;The instructors near me don’t match my needs. ","Yes","Yes","Only if explicitly asked for","Only if explicitly asked for","22:00","20:00","22:00","01:00","3","$15","Yes","Local socials;Weekender/workshops;Congress","40","8","4","120","2","200","Somewhat interested","Increased","5","7","6","9","10","2","1","8","3","4","5","4","","I don’t really have much fear with zouk but I guess accidentally injuring the leader. ","The musicality and creativity ","The music, the creativity, the challenge of learning and getting better. ","Always","Always","Some of the time","Rarely","Rarely","Some of the time","Only with specific people","","Most of the time","Sometimes","Sometimes","Only with specific partners","Only with specific partners","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","80% Mellow/20% Dynamic","Somewhat accessible","More help learning the vocabulary","A","B","A","A","B","B","For easier classes as a follow, I would prefer longer patterns so I have more chances to practice and differentiate moves from other moves. For advanced classes I prefer one move or a few similar-feeling moves, but not a pattern. As a lead, I would struggle with remembering the patterns so I would prefer more opportunities to lead the moves in any order. "
"2022/12/20 7:05:01 PM PST","Yes","50+","Leader","1","Intermediate","Quebec ","Multiple times a week","In Person","4","","Physical (I need to experience elements of the pattern through drills or repetition)","Equal mix of both","No, it does not make a difference to me","Energy and time constraints","2 hours","Progressive Closed Group Classes","Very important","$0","Not at all important","Yes","Single","In Person","Get better quicker","Every few months","Local instructors only","My budget/ability to pay the cost;Partner availability","Yes","Yes","Some of the time","Some of the time","09:00","09:00","09:00","11:30","3","$0","Yes","Weekender/workshops","40","20","5","180","","","Not at all interested","Stayed the same","1","","","","","","1","","","","4","4","Basics","Snobby follows","Flow and happiness","Beauty","","Always","","","","Always","Always","","","Always","","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","80% Mellow/20% Dynamic","Somewhat accessible","Free beginner lesson","A","B","A","B","B","A","What is creepiness?"
"2022/12/20 7:11:55 PM PST","Yes","35","Follower","4 years sporadic (my state has no zouk scene or classes)","Beginner","New Mexico, USA","Never, or less than once a month","","","","","","","","","","","","","No","","","","","","","Yes","Yes","Only if explicitly asked for","Only if explicitly asked for","","21:00","22:00","01:00","2","$8","Yes","Weekender/workshops;Congress","","","2","90","1","200","Not at all interested","Increased","10","","2","3","6","8","1","4","7","9","4","4","Availability of classes and musical timing","Not being able to follow what is expected.","The diversity in the dance and the connection with people.","It just always feels good to express yourself with different people and songs. It is never dull.","Some of the time","Most of the time","Rarely","Some of the time","Most of the time","Most of the time","Rarely","","Only with specific people","NA (I haven't learned or had connections this way)","Sometimes","NA (I haven't learned or had connections this way)","Sometimes","Always","Always","Always","Usually","Always","Always","Usually","Usually","Usually","NA (I haven't learned or had connections this way)","NA (I haven't learned or had connections this way)","50% Mellow/50% Dynamic","Not at all accessible","More classes and socials more variety in teachers","A","A","A","A","B","B",""
"2022/12/20 7:16:03 PM PST","Yes","35","Follower","1","Intermediate","Canada","Once a week","In Person","1.5","23$ CDN","Physical (I need to experience elements of the pattern through drills or repetition)","Equal mix of both","Yes, I use it to determine if I will attend or not","Cost","1.5 hours","Progressive Closed Group Classes","Very important","$0","A little important","Yes","Single","In Person","Pesonalized instruction and to correct wrong moves ","A few times a year, or less","Local instructors only","My budget/ability to pay the cost","Yes","Sometimes, it depends on the day/event","Never","Some of the time","08:00","08:00","08:30","11:30","2","$0","Yes","Local socials","Weekly ","$10 CDN","0","0","0","0","Not at all interested","Increased","9","9","9","9","2","9","10","1","1","9","","","Discomfort with sensual leads who are older and/or leads who have poor hygiene ","Head movements ","Connecting authentically with a partner and enjoying the music as one ","Getting better and feeling motivated to practice","Most of the time","Most of the time","Only with specific people","Never","Most of the time","Most of the time","Never","Always","Only with specific people","Never","Never","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Always","Always","Always","Always","Always","Always","Always","80% Mellow/20% Dynamic","Not at all accessible","Including zouk in mainstream and established SBK socials - why does zouk always have to be in silo?","A","B","A","A","B","B","I love zouk. "
"2022/12/20 7:16:06 PM PST","Yes","30","Leader","2","Intermediate","Australia ","Multiple times a week","In Person","4","55","Physical (I need to experience elements of the pattern through drills or repetition)","Equal mix of both","No, it does not make a difference to me","Day of the week","2 hours","Progressive Closed Group Classes","A little important","$10","A little important","Yes","Package","In Person","Get better with nuance","A few times a year, or less","Local instructors only","My time/availability;My instructor's time/availability","Yes","Yes, but only if I know them already","Never","Some of the time","20:00","20:00","21:00","23:00","2","$0","Yes","Local socials","6","20 aud","2","180aud","1","300aud","Not at all interested","Stayed the same","10","10","8","8","8","10","10","8","8","8","7","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
