"","gc_barrier","private_goals","challenge","fear","rewarding","retention","more_accessibility","comments"
"1",NA,"To get the teacher's perspective on what is lambada","Making friends, I do notice that it depends on the community, some community are more welcoming","I make someone feel uncomfortable","Meeting amazing humans","The people, energy, warmth, connection","Flexible pricing",NA
"2",NA,NA,"Absorbing a lot of information in class","Getting stuck in a rut - repeating the same moves","Connection","Connection and creativity","First few classes - keep it simple","2022 was not a normal year due to Covid."
"3","A lot of the classes are progressive and I don’t have a regular schedule so it’s hard to attend a weekly class","I’ve been dancing Zouk a long time and I seek out privates to work on issues specific to me in my dance, I’m not seeking an introduction to any movements at this point","Difficult dance, the instruction is far from standardized. Requires a lot of body awareness and general training to do well","Lack of competency","Connection","Connection, artistic expression","Simplify the dance, also needs to be cheaper","Be careful when asking people to level themselves. That was the hardest question for me - I’ve been dancing Zouk a long time, but I don’t teach, I compete irregularly. I’m also in a very competitive region with a lot of talented Zouk dancers and so my opinion of what advanced/int/novice is looks a lot different than someone from a smaller scene might perceive and that is different still compared to Brazilian standards. Less experienced dancers will often overestimate their skill and more experienced dancers tend to underestimate their skills. Using more objective criteria such as competition level, whether or not someone is a local or international instructor might be a better way to gage. Also, I can’t remember, but if you didn’t ask someone about where they are from and what country they are from-I would. There’s a lot of geographical variability"
"4","Cost","Improve my dance and reduce injuries","Putting myself out there and general social anxiety","That I'll hurt someone while dancing","Being able to grow as a person and a dancer through my connection to myself and to the people around me","The people and the playful energy","I think bringing in the concepts of fun and play earlier might make newer dancers relax a little bit and be able to enjoy messing around without feeling overwhelmed by technique and patterns",NA
"5","Inertia- not wanting to go out, especially having to drive to same studio multiple days per week",NA,"Social barriers, feeling excluded/different",NA,NA,NA,"More affordable classes, better taught and managed so people don’t feel like they need expensive private lessons to excel in zouk","Something more about creating a welcoming and inclusive culture"
"6","There are no classes in my area",NA,"Access to teachers","None","Nice connection and flow",NA,"Focus on fun",NA
"7","Day of the week","Learn different ways to dance","No instructors locally","None","Movement (feels good in the body)","Same as above","Showing that it's not only head movements",NA
"8","There are no other instructors in our area, we have to travel to other cities for coaching","To learn how to execute head movement more comfortable & polish our skills","Access to instructors in my city","Hurting my body in the longterm, either from improper head movements or loud music (hearing)","Finding freedom in movement and connection","The art and flow state","Regular classes & socials in your community",NA
"9","Non - I teach the classes",NA,"Availability of classes - there were no regular classes when I started","That I will make the dance interesting and enjoyable for my partner","Growing the community and improving the level of dancers in my local zouk scene","The feeling of the dance, the music, and the connection to the great community of people","Simply awareness of the dance style to the everyday person","Great survey and looking forward to seeing the results :)"
"10","Cost","Technique","Heavy follow ratio in socials","Being unable to leave an uncomfortable dance","The feeling of freedom and sensuality on the dance floor","How the dance makes me feel","Better ratio control",NA
